uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_411107;Tabarre;3;18.57533645;-72.26755706;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_411107;
osm_391995;Terre Nueve;3;19.61071613;-72.79966649;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392360;osm_391995;
osm_389621;Terrier Rouge;3;19.63837447;-71.92649555;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394459;osm_389621;
osm_389600;Thiotte;3;18.21522386;-71.85315298;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394505;osm_389600;
osm_392071;Thomassique;3;19.07607544;-71.82661932;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393483;osm_392071;
osm_387731;Thomazeau;3;18.66134654;-72.12672556;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;osm_387731;
osm_392087;Thomonde;3;18.97298289;-71.97906796;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393486;osm_392087;
osm_389507;Tiburon;3;18.33569105;-74.32056609;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394519;osm_389507;
osm_390418;Torbeck;3;18.24456681;-73.88276255;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_390418;
osm_391982;Trou du Nord;3;19.58622544;-72.01621204;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394459;osm_391982;
osm_392026;Vallieres;3;19.44352366;-71.95448386;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394460;osm_392026;
osm_392116;Verrettes;3;19.02553304;-72.49064674;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392364;osm_392116;
